Date,Currency1,Currency2
2024-05-01,92.4,99.5
2024-05-02,92.3,99.6
2024-05-03,92.5,99.4
2024-05-04,92.4,99.4
2024-05-05,92.3,100.1
2024-05-06,92.4,100.1
2024-05-07,92.4,100.1
2024-05-08,92.4,100.1
2024-05-09,92.6,100.2
2024-05-10,92.7,100.7
2024-05-11,93.2,101.2
2024-05-12,93.7,100.7
2024-05-13,93.4,99.7
2024-05-14,93.4,99.7
2024-05-15,93.4,99.7
2024-05-16,93.6,99.8
2024-05-17,94.1,99.9
2024-05-18,94.3,100.3
2024-05-19,94.1,100.5
2024-05-20,93.4,99.6
2024-05-21,93.4,99.6
2024-05-22,93.4,99.6
2024-05-23,93.3,99.4
2024-05-24,93.3,99.6
2024-05-25,92.5,98.9
2024-05-26,92.1,98.7
2024-05-27,92.0,98.7
2024-05-28,91.8,98.0
2024-05-29,91.8,98.0
2024-05-30,91.8,98.0
